strain_id,A_MTX_5-FC.SRO9_SGN1,A_MTX_Fluconazole.SRO9_SGN1,A_MTX_Metformin.SRO9_SGN1,A_MTX_Trifluoperazine.SRO9_SGN1,A_MTX_noDrug.SRO9_SGN1,A_noMTX_5-FC.SRO9_SGN1,A_noMTX_Fluconazole.SRO9_SGN1,A_noMTX_Metformin.SRO9_SGN1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_noDrug.SRO9_SGN1,B_MTX_5-FC.SRO9_SGN1,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Metformin.SRO9_SGN1,B_MTX_Trifluoperazine.SRO9_SGN1,B_MTX_noDrug.SRO9_SGN1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Metformin.SRO9_SGN1,B_noMTX_Trifluoperazine.SRO9_SGN1,B_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.SRO9_SGN1
957,66.0,19.0,153,57.0,59.0,22.0,90.0,146.0,20.0,20.0,170.0,9.0,346,61.0,346.0,160,2.0,12.0,72.0,19.0,15.0
959,153.0,13.0,1562,343.0,32.0,539.0,15850.0,1679.0,1372.0,2186.0,443.0,4.0,2848,663.0,585.0,2150,940.0,505.0,2234.0,415.0,105.0
960,1047.0,17.0,4819,569.0,1339.0,564.0,37.0,1282.0,492.0,906.0,2731.0,4.0,2775,805.0,3466.0,2369,224.0,232.0,1201.0,157.0,42.0
962,6.0,5.0,43,5.0,6.0,61.0,11.0,65.0,18.0,61.0,8.0,1.0,59,8.0,34.0,270,84.0,15.0,96.0,15.0,10.0
966,10.0,0.0,103,5.0,1.0,7.0,2.0,79.0,10.0,30.0,5.0,0.0,125,1.0,14.0,65,3.0,4.0,32.0,5.0,3.0
967,298.0,17.0,1896,130.0,235.0,217.0,9.0,571.0,196.0,309.0,467.0,6.0,1587,205.0,827.0,592,70.0,149.0,351.0,40.0,65.0
972,295.0,1624.0,514,191.0,224.0,210.0,535.0,371.0,119.0,310.0,359.0,2866.0,518,248.0,349.0,707,162.0,70.0,230.0,21.0,28.0
973,19.0,11.0,558,10.0,34.0,72.0,7.0,343.0,52.0,252.0,36.0,95.0,166,46.0,103.0,470,38.0,79.0,189.0,37.0,31.0
976,14.0,17.0,195,5.0,9.0,83.0,99.0,157.0,59.0,245.0,15.0,4.0,465,14.0,16.0,368,0.0,30.0,112.0,6.0,12.0
980,42.0,85.0,286,12.0,16.0,312.0,35.0,285.0,240.0,381.0,32.0,142.0,423,9.0,22.0,1350,167.0,66.0,419.0,29.0,28.0
983,198.0,592.0,924,213.0,644.0,40.0,12.0,207.0,22.0,66.0,518.0,412.0,587,159.0,1672.0,124,8.0,32.0,110.0,21.0,15.0
984,30.0,30.0,1100,30.0,9.0,259.0,25.0,995.0,222.0,784.0,87.0,62.0,1026,31.0,25.0,1298,214.0,199.0,760.0,168.0,44.0
985,4.0,4.0,123,3.0,1.0,4.0,11.0,81.0,14.0,40.0,7.0,5.0,71,0.0,2.0,35,0.0,6.0,32.0,6.0,5.0
987,395.0,547.0,1862,929.0,2467.0,128.0,5.0,628.0,55.0,203.0,1315.0,22.0,1728,1642.0,5620.0,341,28.0,58.0,268.0,46.0,38.0
99,595.0,39.0,3951,340.0,429.0,146.0,4.0,741.0,164.0,341.0,1166.0,26.0,1662,552.0,1683.0,788,23.0,142.0,291.0,39.0,67.0
991,11.0,19.0,910,2.0,14.0,248.0,146.0,1825.0,383.0,521.0,28.0,57.0,1102,10.0,56.0,779,1252.0,156.0,1475.0,61.0,46.0
992,11.0,0.0,274,15.0,0.0,127.0,27.0,338.0,102.0,274.0,10.0,37.0,333,11.0,20.0,656,371.0,53.0,300.0,76.0,16.0
996,41.0,24.0,150,61.0,84.0,37.0,121.0,69.0,31.0,109.0,116.0,71.0,68,100.0,375.0,118,159.0,6.0,99.0,11.0,20.0
998,5.0,13.0,167,1.0,4.0,65.0,2.0,150.0,18.0,37.0,2.0,22.0,70,0.0,23.0,218,66.0,16.0,103.0,10.0,14.0
999,13.0,1558.0,29,10.0,24.0,6.0,6.0,22.0,9.0,8.0,17.0,6.0,26,31.0,49.0,16,0.0,0.0,28.0,2.0,14.0
1052,2.0,66.0,12,1.0,0.0,1.0,1.0,13.0,5.0,4.0,0.0,21.0,16,2.0,3.0,20,0.0,0.0,2.0,0.0,1.0
17_2,0.0,0.0,3,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2,1.0,2.0,9,2.0,0.0,5.0,0.0,1.0
217,1.0,0.0,6,0.0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,6,0.0,3.0,6,0.0,0.0,5.0,0.0,0.0
22,0.0,2.0,2,0.0,2.0,4.0,5.0,6.0,4.0,6.0,3.0,0.0,7,0.0,2.0,15,1.0,2.0,5.0,2.0,2.0
292,1.0,0.0,11,3.0,3.0,3.0,1.0,12.0,0.0,3.0,6.0,0.0,18,2.0,3.0,10,1.0,0.0,2.0,0.0,1.0
387,8.0,18.0,31,1.0,3.0,2.0,0.0,20.0,2.0,8.0,18.0,0.0,29,4.0,47.0,11,2.0,3.0,5.0,0.0,1.0
411,5.0,1.0,16,2.0,3.0,2.0,1.0,18.0,2.0,9.0,5.0,1.0,28,4.0,8.0,10,1.0,1.0,10.0,1.0,0.0
44,1.0,0.0,1,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,9,0.0,3.0,9,3.0,0.0,1.0,0.0,0.0
501,2.0,0.0,7,1.0,1.0,1.0,0.0,9.0,1.0,2.0,3.0,0.0,16,1.0,12.0,10,4.0,0.0,5.0,1.0,1.0
506,3.0,2.0,14,3.0,0.0,1.0,0.0,8.0,4.0,1.0,2.0,3.0,12,1.0,18.0,16,4.0,1.0,6.0,1.0,1.0
59,0.0,0.0,5,0.0,0.0,1.0,2.0,6.0,2.0,3.0,0.0,0.0,9,1.0,1.0,14,0.0,1.0,4.0,1.0,0.0
607,1.0,0.0,14,0.0,1.0,2.0,7.0,24.0,7.0,11.0,1.0,0.0,12,0.0,2.0,25,9.0,2.0,5.0,3.0,1.0
643,1.0,2.0,40,2.0,0.0,4.0,1.0,17.0,7.0,6.0,5.0,2.0,20,0.0,13.0,28,2.0,2.0,5.0,4.0,1.0
753,2.0,9.0,65,5.0,3.0,5.0,6.0,58.0,24.0,54.0,2.0,11.0,72,1.0,31.0,106,7.0,2.0,39.0,1.0,4.0
79,1.0,1.0,5,1.0,0.0,0.0,1.0,8.0,4.0,2.0,9.0,0.0,6,4.0,8.0,8,1.0,1.0,9.0,4.0,0.0
917,0.0,0.0,5,2.0,1.0,0.0,4.0,15.0,5.0,8.0,1.0,2.0,10,1.0,1.0,15,1.0,0.0,7.0,0.0,1.0
956,14.0,8.0,207,25.0,34.0,7.0,13.0,83.0,9.0,25.0,97.0,22.0,141,61.0,130.0,28,0.0,11.0,33.0,10.0,8.0
454,4.0,9.0,111,0.0,0.0,114.0,33.0,182.0,103.0,181.0,1.0,47.0,114,1.0,9.0,392,1.0,19.0,145.0,14.0,7.0
932,8.0,9.0,27,6.0,12.0,2.0,0.0,15.0,4.0,4.0,1.0,5.0,23,8.0,9.0,24,12.0,4.0,7.0,6.0,0.0
